      No     Day     Mon    Year  Qobs_0000000045  Qsim_0000000045
     394      29       3    1994       97.1000000       90.5658223
     395      30       3    1994       90.7200000       88.6105518
     396      31       3    1994       85.7500000       88.3801768
     397       1       4    1994       83.3000000      132.1693403
     398       2       4    1994      181.6400000      244.1056048
     399       3       4    1994      239.2400000      239.1422236
     400       4       4    1994      183.2300000      208.0572397
     401       5       4    1994      181.6400000      197.0336764
     402       6       4    1994      159.7500000      188.7035894
     403       7       4    1994      146.0600000      168.9225017
     404       8       4    1994      135.6200000      148.8301593
     405       9       4    1994      123.9300000      153.1293217
     406      10       4    1994      128.2800000      238.3394924
     407      11       4    1994      222.3800000      305.7507408
     408      12       4    1994      263.3300000      306.9644756
     409      13       4    1994      239.2400000      295.3527800
     410      14       4    1994      237.5400000      288.9033925
     411      15       4    1994      237.5400000      274.5636901
     412      16       4    1994      230.7700000      256.5210167
     413      17       4    1994      220.7100000      290.8015065
     414      18       4    1994      311.2900000      351.6919092
     415      19       4    1994      335.0100000      340.1958634
     416      20       4    1994      288.7100000      295.7131577
     417      21       4    1994      240.4200000      254.0069180
     418      22       4    1994      212.7400000      220.6011983
     419      23       4    1994      192.4900000      193.4756875
     420      24       4    1994      180.8900000      171.4142943
     421      25       4    1994      175.9700000      154.1862881
     422      26       4    1994      177.6100000      139.9845348
     423      27       4    1994      163.0000000      130.0387412
     424      28       4    1994      153.4200000      122.9339495
     425      29       4    1994      147.1100000      118.4085031
     426      30       4    1994      150.2600000      115.2417896
     427       1       5    1994      142.4100000      115.5218542
     428       2       5    1994      145.5400000      117.0451561
     429       3       5    1994      137.7500000      107.8270954
     430       4       5    1994      130.0500000      100.4662223
     431       5       5    1994      140.8500000      111.9021918
     432       6       5    1994      156.6000000      131.8212061
     433       7       5    1994      137.7500000      120.4249067
     434       8       5    1994      117.9300000      110.8127682
     435       9       5    1994      110.4900000      103.8119120
     436      10       5    1994      114.9500000       98.8723428
     437      11       5    1994      114.9500000       94.3783364
     438      12       5    1994      106.0800000       90.0589492
     439      13       5    1994       99.0900000       86.2380006
     440      14       5    1994       99.0900000       83.2803138
     441      15       5    1994       84.3100000       80.4821655
     442      16       5    1994       96.2900000       77.8523215
     443      17       5    1994      101.7000000       75.4244853
     444      18       5    1994      100.5000000       97.7065502
     445      19       5    1994      163.0000000      156.3437757
     446      20       5    1994      265.2200000      193.3624297
     447      21       5    1994      308.9000000      215.8357926
     448      22       5    1994      263.4300000      191.8690204
     449      23       5    1994      197.5100000      165.8886280
     450      24       5    1994      174.3400000      145.8848020
     451      25       5    1994      145.5400000      130.1048494
     452      26       5    1994      147.1100000      126.2188559
     453      27       5    1994      143.9700000      143.8396979
     454      28       5    1994      153.4200000      136.5962780
     455      29       5    1994      136.2000000      138.1891700
     456      30       5    1994      150.2600000      158.4695257
     457      31       5    1994      159.8000000      150.7587947
     458       1       6    1994      147.1100000      135.1301819
     459       2       6    1994      133.1200000      120.8510961
     460       3       6    1994      122.4500000      110.0587933
     461       4       6    1994      110.4900000      143.2050155
     462       5       6    1994      224.7600000      234.4535299
     463       6       6    1994      294.1900000      220.8155538
     464       7       6    1994      209.3300000      189.5131909
     465       8       6    1994      166.2300000      164.8328904
     466       9       6    1994      150.2600000      155.8496747
     467      10       6    1994      140.8500000      162.7689878
     468      11       6    1994      128.5200000      151.7566113
     469      12       6    1994      137.7500000      173.8498259
     470      13       6    1994      212.7400000      239.6411197
     471      14       6    1994      249.2200000      234.4583032
     472      15       6    1994      214.4500000      204.6919803
     473      16       6    1994      171.0800000      178.2881927
     474      17       6    1994      155.0100000      170.2809612
     475      18       6    1994      167.8400000      167.4626133
